Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
14,Riau,GKP Tingkat Petani,2022,Desember,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Desember,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Desember,"7,47%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Desember,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Desember,"2,11%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Desember,
13,Sumatera Barat,GKP Tingkat Petani,2022,Desember,"12,09%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Desember,"1,72%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Desember,"7,33%"
11,Aceh,GKG Tingkat Penggilingan,2022,Januari,"5,13%"
51,Bali,GKG Tingkat Penggilingan,2022,Januari,"6,49%"
36,Banten,GKG Tingkat Penggilingan,2022,Januari,"7,29%"
17,Bengkulu,GKG Tingkat Penggilingan,2022,Januari,
34,D.I Yogyakarta,GKG Tingkat Penggilingan,2022,Januari,"3,77%"
75,Gorontalo,GKG Tingkat Penggilingan,2022,Januari,
15,Jambi,GKG Tingkat Penggilingan,2022,Januari,"7,80%"
32,Jawa Barat,GKG Tingkat Penggilingan,2022,Januari,"9,12%"
33,Jawa Tengah,GKG Tingkat Penggilingan,2022,Januari,"5,85%"
35,Jawa Timur,GKG Tingkat Penggilingan,2022,Januari,"5,35%"
61,Kalimantan Barat,GKG Tingkat Penggilingan,2022,Januari,"5,08%"
63,Kalimantan Selatan,GKG Tingkat Penggilingan,2022,Januari,"11,58%"
62,Kalimantan Tengah,GKG Tingkat Penggilingan,2022,Januari,"12,20%"
64,Kalimantan Timur,GKG Tingkat Penggilingan,2022,Januari,
18,Lampung,GKG Tingkat Penggilingan,2022,Januari,"7,42%"
52,Nusa Tenggara Barat,GKG Tingkat Penggilingan,2022,Januari,"6,86%"
53,Nusa Tenggara Timur,GKG Tingkat Penggilingan,2022,Januari,"5,53%"
14,Riau,GKG Tingkat Penggilingan,2022,Januari,
76,Sulawesi Barat,GKG Tingkat Penggilingan,2022,Januari,
73,Sulawesi Selatan,GKG Tingkat Penggilingan,2022,Januari,"7,06%"
72,Sulawesi Tengah,GKG Tingkat Penggilingan,2022,Januari,"0,00%"
74,Sulawesi Tenggara,GKG Tingkat Penggilingan,2022,Januari,"4,15%"
71,Sulawesi Utara,GKG Tingkat Penggilingan,2022,Januari,
13,Sumatera Barat,GKG Tingkat Penggilingan,2022,Januari,"8,54%"
16,Sumatera Selatan,GKG Tingkat Penggilingan,2022,Januari,"9,14%"
